Date,Dow Industrial Average,S&P 500
2025-03-03,43191.24,5849.72
2025-03-04,42520.99,5778.15
2025-03-05,43006.59,5842.63
2025-03-06,42579.08,5738.52
2025-03-07,42801.72,5770.20
2025-03-10,41911.71,5614.56
2025-03-11,41433.48,5572.07
2025-03-12,41350.93,5599.30
2025-03-13,40813.57,5521.52
2025-03-14,41488.19,5638.94
2025-03-17,41841.63,5675.12
2025-03-18,41581.31,5614.66
2025-03-19,41964.63,5675.29
2025-03-20,41953.32,5662.89
2025-03-21,41985.35,5667.56
2025-03-24,42583.32,5767.57
2025-03-25,42587.50,5776.65
2025-03-26,42454.79,5712.20
2025-03-27,42299.70,5693.31
2025-03-28,41583.90,5580.94
2025-03-31,42001.76,5611.85
